model,t1_ok,ref_old,ref_new,cav_h,com_h,overref_old,overref_new,cav_b,div_n_old,div_n_new,div_s_old,div_s_new,div_n_fix,div_s_fix,R_old,R_new,err
Hermes-3-Llama-3.1-8B,n/a,0.693,0.599,0.128,0.273,0.544,0.003,0.039,0.297,0.339,0.312,0.326,0.409,0.452,266,230,0
Meta-Llama-3.1-70B-Instruct,yes,0.812,0.76,0.086,0.154,0.552,0.0,0.029,0.103,0.106,0.112,0.113,0.212,0.195,312,292,0
Mistral-7B-Instruct-v0.3,yes,0.703,0.435,0.346,0.219,0.56,0.003,0.013,0.204,0.192,0.256,0.228,0.251,0.311,270,167,0
Qwen3-14B,yes,0.857,0.753,0.138,0.109,0.523,0.0,0.036,0.31,0.318,0.356,0.363,0.481,0.567,329,289,0
c4ai-command-r7b-12-2024,yes,0.82,0.667,0.18,0.154,0.523,0.008,0.031,0.063,0.066,0.057,0.059,0.094,0.094,315,256,0
gemma-3-27b-it,yes,0.818,0.633,0.302,0.065,0.656,0.0,0.219,0.054,0.045,0.061,0.049,0.115,0.091,314,243,0
